ID,Sports,Interview Text,Speaker,Type,Labels
184,Tennis," Yeah, sure, she was.  She was making some doublefaults or easy volley mistakes and -- I mean, she is always a little bit nervous when it is getting close.  Yeah, she was, definitely.",BARBARA RITTNER,Individual,2
185,Cricket,"Look, we know we're a great fielding unit. We normally have one of those games somewhere along the line. I'm just happy it's gone now, and I know the Team is going to do better next time.",LIZELLE LEE,Team,4
186,Baseball,"But Yadi can hit anywhere. Hit second for us, third, fourth, fifth. He can hit anywhere because Yadi has an approach, and so he's going to be productive.",MIKE SHILDT,Team,2
187,Baseball,I'm living the dream. I know this is a big opportunity for me. It's a big year for me. And I'm going to do my best every outing and enjoy the time.,JOSE URQUIDY,Team,5
188,Golf,Feel really good.  I was just thinking like I don't want to discredit my round just because I played a couple bad holes towards the end of the day.,ALLY MCDONALD,Individual,5
189,Volleyball,"I thought we were disciplined. We weren't trying to do so much. I think when we've gone back and we watch how we defended her in the past, I thought it looked like a very undisciplined, poor-coached Team.",KELLY SHEFFIELD,Team,8
190,Basketball,"  I mean, it definitely is a high percentage if I have a few days.  But like I said, I'm making some progress, then some days I'm the same.  We'll see.  We'll see.",GORAN DRAGIC,Team,6
191,Golf,Just I think my game just is finally coming together.  I'm really comfortable my swing.  My PXG equipment has been working fantastic for me.,MINA HARIGAE,Individual,2
192,Baseball,"Yeah, it definitely helps when you can get -- see their bullpen. This way you know in a long series like that you know who you're going to face, if you face them again, and what they have.",DAVE MARTINEZ,Team,4
193,Baseball,"Yeah, I talked to him a little bit in Houston. A lot of guys who I've played with, we've gone through a couple of levels here and being able to play against somebody else, it's great.",PATRICK CORBIN,Team,4
194,Golf,"I started on 1, so first hole I hit a sand wedge about a foot, got it in my range.  I hit a 9-iron about two feet.",BRANDT JOBE,Individual,2
195,Baseball,"No, we're trying to win today's game. I'll empty my own tank. There's certainly a couple of guys that I'm not going to use; Greinke and Cole. But we're trying to win today's game.",AJ HINCH,Team,5
196,Hockey,I know what the boards feel like (laughter).  I was a little bit confused where he was.  It was six-on-five.  You're just trying to find a spot to stand.  I was tired so I parked it in front.,ALEX PIETRANGELO,Team,1
197,Lacrosse,"To talk about what Matt was saying and his lacrosse IQ, it was in the fall last year, it was freshmen fall.",BEN REEVES,Team,7
198,Baseball,"Every off-season we go through our baseball operations policies. Sign stealing was a big focus during the off-season last year, and I expect it will be this year as well.",ROB MANFRED,Team,7
199,Baseball,"Yeah, he's in the clubhouse now. He's going to get treatment. He's going to do everything he can to try to get ready.",DAVE MARTINEZ,Team,3
200,Tennis," I have played Sampras at Wimbledon this year, and that was a big match for me.  I didn't play too bad.  I played a few other guys.",NEIL BORWICK,Individual,4
201,Hockey,"It's amazing to see.  This is a hockey town.  They've been with us through the ups and downs.  They're excited.  This is something new and special, and they're a big part of it, a big piece of it.",RYAN O'REILLY,Team,7
202,Auto Racing,I think you heard Erik say in the previous interview there would probably be even more wrecks. We certainly don't need more wrecks than what we saw today. Probably not.,SCOTT MILLER,Blended,8
203,Football,I think everybody is excited about the game.  They have enjoyed their experience and they are going to be ready to play.,JOSH HEUPEL,Team,5
204,Baseball,"I think you're always looking for pitching. I don't know that you ever have enough. I don't know. We'll see what's out there, see whatever. But like I say, I don't think you can ever have enough starting pitchers.",BRIAN SNITKER,Team,8
205,Baseball,"It's a little different than our old stadium, it's got some jagged edges around the outfield. It's going to take some time.",CHRIS WOODWARD,Team,5
206,Baseball, You probably are not going to see us two doing a Stance Little League Clinic.  We are probably the two worst guys you would want to have your kids going up there and hitting like.  (Laughter.),LUIS GONZALEZ,Team,7
207,Hockey,"Yeah, I mean, of course you want to win every game.  I think if you think you're going to sweep every Team or the games that are left, I think you're maybe in a fantasy world.",JOAKIM NORDSTROM,Team,5
208,Football,"It would be great for us, great for the Team, great for him.  He's locked in, laser like focus going into this ballgame and practicing well, preparing really well.  Not going to let himself get beat in this game.",JIM HARBAUGH,Team,2
209,Golf,"  Yes.  Definitely got a lot of congratulations from Mike Whan, for example.  He texted me right after the third round last week, so that felt really special.",MATILDA CASTREN,Individual,7
210,Golf,"  So I been working more on like short game and bunker play and putting as well.  Putting obviously has been paying off.  Short game, not so much so far.  That can change this week.",LINDSEY WEAVER,Individual,1
211,Baseball,I've been texting him. We've been trying to call and missing each other. He's been hunting in Ohio and somewhere else.,JOE MADDON,Team,7
212,Golf," No, I actually got a wild card.  I received an invitation to play Doral as kind of a home player, I live only an hour north of Doral.",MATHIAS GR?NBERG,Individual,6
213,Basketball,We had three-hour training camp practice yesterday (laughing).  It's just prep.  Normal prep in between games.  Our guys are ready.,ERIK SPOELSTRA,Team,6
214,Golf,  Have you ever played in a tournament and the location was so beautiful that you decided to come back for a vacation?  Is Lake Oconee going to be one of your new vacation spots?,OPHELIA BUNUEL,Individual,7
215,Baseball,"Maybe a chip. I think when you play some of the Teams we play in our division so much, it's probably best not to seen think about it. Using it as ray positive or a negative, just go play.",KEVIN CASH,Team,5
216,Tennis, He was -- it was his back because I saw him in the locker room it was his back.  Which probably coming from the serve.,ANREI MEDVEDEV,Individual,3
217,Golf," We have by far and away the No. 1 player from the Ladies European Tour, Gwladys Nocera.  You've won three times and you're obviously got to be fairly confident coming in.",COLIN CALLANDER,Individual,2
218,Basketball,"  Yeah, again, we're our own worst enemy sometimes.  Our turnovers tonight really hurt us badly, unforced turnovers.  We're in a good position.  They're a very fine basketball Team and you can't make those kind of blunders against them.",BILL LAIMBEER,Team,4
219,Football,"  Well, you know, you're cooking for yourself, paying for your own school.  So you're not living high on the hog, I guess you could say.",JOSH HEUPEL,Team,7
220,Hockey,"It means a lot.  We're lucky to have them.  They've been here for us all year, before that, too.  You look to them, can feel comfort in that, follow in their footsteps, know you're walking in the right direction.",SEAN KURALY,Team,5
221,Auto Racing,"  Yeah, I was just pushing.  I was hustling the car, driving as hard as I could, trying to enjoy myself.  I really enjoyed the race conditions, love driving a full race.  It's my favorite part of the weekend.",JOSEF NEWGARDEN,Blended,4
222,Golf,"  One was sand wedge, and one was my fat baby, 60-degree lob-wedge.  Usually I use that one mostly around the green and in the heavy stuff.  It just came out a little strong.",ROSIE JONES,Individual,4
223,Tennis," I thought that if I play my best I know that there is a possibility to win, so it wasn't a big surprise for me.",KIMIKO DATE,Individual,4
224,Football,"  Those guys do a great job.  I don't think the height is a key thing.  I think, again, we've just got to make plays.",JOSH HEUPEL,Team,2
225,Auto Racing,"The meetings will probably get longer because he won't get up and leave after he gets bored. Definitely lose some entertainment value, for sure. ",KEVIN HARVICK,Blended,7
226,Cricket,"So a part of our tactics are bowling according to stumps, stump to stump. That's the field we employ. But we did not hit those lengths or those lines. Yeah, it just wasn't working for us today.",SORNNARIN TIPPOCH,Team,1
227,Baseball," I've got a bunch of family in town, so I'll probably just be at home and entertain all of the family that I've got in town.",ROD BARAJAS,Team,7
228,Golf, It was the same thing last week at Evian.  But I guess that's what we call experience and hopefully I will get that one day and I won't be so stressed in front of these girls.,GWLADYS NOCERA,Individual,4
229,Tennis," No, it was very tough today because it is true, somewhere I have to beat Masur because his ranking is less than mine, and I beat Courier and everybody wait, I am winning, so it was very difficult today.",CEDRIC PIOLINE,Individual,4
230,Tennis," I don't know.  I hope so, but I am not working with the French Federation, so I think my coach will be very happy.",CEDRIC PIOLINE,Individual,7
231,Volleyball,"I think the biggest thing was we went out there, and we're trying to have so much fun. And you'll sit back and review what you're doing, and you get to play the game with the people you love.",SYDNEY HILLEY,Team,5
232,Football,"My opinion really doesn't matter, so I don't normally give it.  Say what I say, so I'm not going to give my opinion.",WILL MUSCHAMP,Team,7
233,Volleyball,"Again, I think it brought us together, kind of similar to this game, like we're in this, and when we can turn it on, it's dangerous.",MICAYA WHITE,Team,5
234,Tennis," It is not nice.  It is not nice.  It needs to be get better, everyone wants it to be better, but I don't think we have enough power, I don't think we have right people to change it.",ANREI MEDVEDEV,Individual,4
235,Golf," Well, I thought it was    to me, the holes played, the into the winds holes I did better on those I think because you can control your ball.  Just wherever it landed, it was going to stay.",DAVID TOMS,Individual,3
236,Cricket,"No, today we made mistakes in fielding and dropped some catches. That's the difference between our Team and the England Team.",ALIYA RIAZ,Team,4
237,Tennis," I'm not too concerned.  I don't really look around the stadium to see who's watching or how many people are there, I try to keep myself focused-- what was the question exactly?",PETE SAMPRAS,Individual,2
238,Basketball,"  I'm in great shape.  I bounce back extremely well in between games.  I could play right now if we had to play right now, at a high level.",LeBRON JAMES,Team,2
239,Tennis," Yeah. I mean, it helps a lot just to look to the side and see that you have people there who are with you, and you know it gives you some strength and it makes you feel good.",MARY PIERCE,Individual,5
240,Tennis," That means playing on the baseline and finishing the point with the winner, with the volley or something.  So the points will be longer than they were today.  And that will take a lot of mental concentration.",ANDREI MEDVEDEV,Individual,1
241,Golf,"No, it was never like that.  Every week I felt like I could win because my practice was so good.",KARRIE WEBB,Individual,4
242,Golf," Yes.  Birdie on 4, on 4 I hit a 3-wood off the tee and I hit a 6-iron in there about 12 feet just below the hole and made that for birdie.",BILLY MAYFAIR,Individual,4
243,Baseball,"Well, I remember him hitting against me in Spring Training. And I would expect him to be looking for a fastball after the first at-bat.",GERRIT COLE,Team,2
244,Golf," Alicone (ph).  His birthday is today.  Yesterday he was joking, ""You're just waiting for a good round tomorrow, it's my birthday.""  So, I'm glad.  He's been my coach for a long time.",LORENA OCHOA,Individual,7
245,Lacrosse,"Yeah, I think it gives negative mojo to your Team if you think of how many goals you're down by.  Instead we take it, like I said earlier, play-by-play.  I think that's what got us out of that hole.",KENZIE KENT,Team,5
246,Baseball,"It's something that I have done. It's something -- it has to be the right time situationally when you are talking about a player, whether it's your player or someone that potentially can come play for you.",ROCCO BALDELLI,Team,2
247,Golf," No.  I just work on everything the same for three years now with my new coach.  So the same every day, like a magician that works on his piano, so it's the same, work, work, would.",GWLADYS NOCERA,Individual,1
248,Hockey,I think just what I expect out of him.  I know he's a goal-scorer.  He scores lots of goals every year.  But there's a lot more to his game than that.  I think that needed to come out.,CRAIG BERUBE,Team,2
249,Tennis," Of course.  Yeah, to beat Becker in a Grand Slam that he won before, it is just great. Nothing compares to this, for sure.",MAGNUS LARSSON,Individual,4
250,Football," I don't think there will be an effect, because they have other players, as well.  So we can't just go in there saying, we have to play different, we're going to play the same way.",J.T. THATCHER,Team,1
251,Baseball,"Yeah, it's just the game management, and you're expecting -- I'm not going to go all into it, but I have confidence, I had confidence in Kenley.",DAVE ROBERTS,Team,5
252,Golf,"  Yeah, 100%.  I was not happy about that.  I was not happy.  But the bunkers are usually -- I like bunkers a lot so I just kind of went, No.",DANIELLE KANG,Individual,4
253,Volleyball,"Yeah, you're going to see Teams doing some uncharacteristic things just because they know their season's on the line, they'll give everything they've got. We have to be patient and ready to respond to whatever they throw at us.",MORGAN HENTZ,Team,5
254,Tennis," I think she is a great player and she really puts a lot in the game on the court and off the court.  I hope she is still around for quite a few more years, at least.",HELENA SUKOVA,Individual,2
255,Tennis," It was only two feet wide.  First point he served for it.  It is a huge point, and it just pissed me off.  I had just got into it from there on.",WALLY MASUR,Individual,4
256,Tennis," Well, it is best she has played for a while.  She has a tendency to do that against me. Bad luck.",MARTINA NAVRATILOVA,Individual,2
257,Baseball,"For sure. I had a pretty good familiarity with the National League West, not just as the manager of the Giants, but also coming to play in the National League West as the manager of the Phillies.",GABE KAPLER,Team,7
258,Baseball,"Yeah, we stopped the bleeding last night and then came out and played well again today. We want to just keep it rolling.",ALEX BREGMAN,Team,2
259,Tennis," Yes, I did.  And they did some work on it.  They gave me some medication and so on and so on.  But not good enough.",IVAN LENDL,Individual,3
260,Lacrosse,"We knew Ohio State was going to come out aggressive in that second half, just like they normally do.  We wanted to continue to be aggressive from our part.",COACH NADELEN,Team,1
261,Golf," The best way I can describe it is that this kind of golf suits my game.  Like for instance, at the U.S. Open, I fared okay, but I never had great finishes.",SHERRI STEINHAUER,Individual,2
262,Hockey,"We can be better, period.  I thought we were good in front of them.  A couple of bad breakdowns we didn't capitalize on.  I thought we were solid in terms of the overall play, Team defense.",BRUCE CASSIDY,Team,4
263,Golf," Twice.  I played Tuesday, I was in the Pro Am, but before I got to here, I played Friday and Saturday, that was it.",GEOFF OGILVY,Individual,7
264,Golf,"So they've got to qualify now to make it.  Every now and then that's going to happen, but it seems to be happening more and more in the Ryder Cup.",SCOTT HOCH,Individual,8
265,Golf,  This golf course is beautiful.  I've never been in area so it's a really pleasant surprise.  It's just so cool seeing all the boats.  People are actually allowed to see us I guess on the boats.,MEL REID,Individual,7
266,Football,"No, we try not to worry about any of that.  We just try to go out there and do our jobs and play.",JALEN THOMPSON,Team,5
267,Hockey,"I think we've come a long way, as we have really over the course of decades.  I think the league is in a bigger, better, stronger place.  That starts with the product on the ice.",DEPUTY COMMISSIONER DALY,Team,7
268,Baseball,It could be. I'm not a big room service guy. I like to go out and eat. Houston has got some pretty good restaurants that I like.,DAVE MARTINEZ,Team,7
269,Tennis," I think it is hardcourt.  I mean, even though he won his first Slam on the clay, I think hardcourt has had his best results.",PETE SAMPRAS,Individual,2
270,Baseball,I can share that I've been a fan of both players for a long time. I can share that in Philadelphia we thought about Kevin quite a bit. And we were fans then; I'm still a fan today.,GABE KAPLER,Team,7
271,Basketball,"  I mean, I'm doing everything what I can do.  It does feel better than when it happened.  But you know, we'll see.  I mean, I don't have no timetable yet.",GORAN DRAGIC,Team,6
272,Basketball,"  No, I've always been a guy who kind of let his game do the talking.  But when guys get to talking, I can do that, as well.  I've always tried to let my game do the talking.",LeBRON JAMES,Team,8
273,Tennis," We asked for a wildcard, three, four weeks ago, maybe.  I decided to play New Haven and Schenectady and here and asked for wildcards in all three.",MATS WILANDER,Individual,8
274,Golf," You got off to a very fast start, two birdies in the first two holes, would you like to talk about that?",COLIN CALLANDER,Individual,4
275,Tennis," I kind of enjoyed it.  I didn't enjoy the fourth set.  Did not enjoy that at all.  I enjoyed the match.  I enjoyed the first three sets, but I'd like to go out and do that fourth set again.",WALLY MASUR,Individual,4
276,Baseball,"We have it on the outside of the case packs for our own uses that we know. That's part of the recommendation, is to better develop a tracking mechanism all the way through.",BEN MCINTOSH,Team,7
277,Tennis," Yeah, I think we start to play very nervous.  We didn't play so good today, but I think we have a great job in this tournament and I hope next year we are going to win the tournament.",INES GORROCHATEGUI,Individual,4
278,Volleyball,"I echo everything. If we look too far ahead, we get lost. Even taking it one point at a time, we're not looking too far ahead or in the past, we're just focused on the here and the now.",MORGAN HENTZ,Team,5
279,Baseball,"Absolutely. That's what you call a perfect pitch right there, a pitcher's pitch. And I was able to lay it off. I thought it was a little off. I haven't seen a replay of that pitch.",CARLOS CORREA,Team,4
280,Baseball,"  Yeah, probably.  They have a deeper bench, there's no question and I think that gives them more of an advantage over the other National League clubs.",JOE TORRE,Team,2
281,Tennis," I am not in her position.  I am in the other position.  I would probably continue, so, I don't know.",ARANTXA SANCHEZ VICARIO,Individual,8
282,Basketball,"  Yeah.  I mean, that's who I am.  I know it doesn't seem like that all the time, but that's how I want to be on the court for this Team, be aggressive, take my shots, and just be myself.",KAYLA McBRIDE,Team,2
283,Baseball,"We talked about it right after that. These guys all season long, offense comes and goes, you have slumps, but when they're clicking on all cylinders, it's pretty special to watch.",JUSTIN VERLANDER,Team,2
284,Baseball,I don't know the Team sentiment. We haven't really discussed it all that much. We're worried about winning a baseball game.,JUSTIN VERLANDER,Team,5
285,Volleyball,"Yeah, I think both Teams were pretty consistent throughout the match. Like hue said, Florida is a good Team, and not just people be consistent, but just one set was towards one Team and one set was towards the other.",ALEXIS HART,Team,4
286,Baseball,Yes. He's been to many of the events that I've done in Puerto Rico. He helped support my academy in Puerto Rico. He's a very good friend.,CARLOS BELTRAN,Team,7
287,Golf,"  A couple times.  She forced me into 3-wood a couple of times and it was a good move.  I wanted to hit driver and she's like, ""You can't do that.""",BECKY IVERSON,Individual,1
288,Baseball,"Yeah, we were actually down 3 games to 1. We won the game in Chicago and then went to Cleveland and won the next two.",DAVE MARTINEZ,Team,4
289,Baseball,He's good. He's been swinging. I don't think he's hit live yet. He's hit off the tee. He says he feels good. Everything is healthy.,CHRIS WOODWARD,Team,3
290,Golf," I don't even know, maybe at the Bob Hope, and that's it.  Of course they have  thin air, as well.  At sea level I don't know.",CHARLES HOWELL III,Individual,7
291,Tennis," Most of the time you know it right away.  It is dramatic.  You win, you feel like you are on the top of the world and you lose and you feel like I am right now.",ANDRE AGASSI,Individual,4
292,Lacrosse,"He basically summed up everything.  It's just been an amazing three years for me.  Denver took me in as one of their own, and I can't thank them enough for doing that.",CONNOR CANNIZZARO,Team,5
293,Volleyball,"Those are pretty nice numbers for a middle, .484, 19 kills, eight blocks. And then got three aces, got some service. That's a pretty nice night.",KELLY SHEFFIELD,Team,2
294,Hockey,Probably more.  It's his first Playoff.  He's a young guy.  We didn't know what to expect.  He's grown his game.,BRUCE CASSIDY,Team,2
295,Baseball,"Well, the three-batter minimum for me is a little cloudy, so I'm waiting to get some more clarification on it.",BRANDON HYDE,Team,8
296,Golf," I wanted to come    I knew that the back nine would be hard to play, or harder, so I really wanted to make a good start, and I got it with the birdie on 1.",MATHIAS GR?NBERG,Individual,4
297,Baseball,That's yet to be determined. I don't know if he played much baseball. We're going to find out just how much.,CLYDE DREXLER,Team,2
298,Tennis," I had no idea.  I mean, until he said-- until he went up to the umpire's chair I had no idea he was injured.",NEIL BORWICK,Individual,3
299,Cricket,"We are from a cricket crazy nation, so, yeah, people are expecting from us to win, and we are going also for the win actually.",NIGAR SULTANA JOTY,Team,5
300,Auto Racing,"Just trying to get better. We've been fortunate to get to the Round of 8 the last couple years. That's kind of been our stopping point. For us, we're just eyes ahead trying to assert ourselves amongst that next group.",CHASE ELLIOTT,Blended,6
301,Hockey,"It's tough having to think about different games, especially in the Playoffs.  I think we've done a good job as a group just taking games, putting them behind us when need to be, just focusing on the next one.",COLTON PARAYKO,Team,5
302,Volleyball,We're really excited to be here in Pittsburgh. We've enjoyed our time here. Been here since Monday. It's been really cool to be able to take a look at some of this city.,KEVIN HAMBLY,Team,7
303,Baseball,"Yeah, I don't know if I came into his first year here shooting for 150. I think days off are important for players, period, of his age specifically, and we'll do our best to get it.",CRAIG COUNSELL,Team,2
304,Tennis," I don't know, he played okay, so good. I didn't have a lot of chances.  I was always behind.  I don't know, I think he played much better than me first two sets.",GORAN IVANISEVIC,Individual,2
305,Baseball,"A little bit, yeah. I think there's two different situations; one was with two outs, one was with one out. The one today I was trying to get the ball in the air and just drive in a run.",ALEX BREGMAN,Team,4
306,Basketball,"  I'm blessed.  I'm blessed to be there.  I'm grateful.  But at the end of the day that's good and all, but I'm here trying to compete for something bigger than that.",A'JA WILSON,Team,5
307,Baseball,"I think they're excited. I think part of the excitement is, when you hear how things are going to be adjusted or different, but the main part of my job is following through on that.",DEREK SHELTON,Team,5
308,Auto Racing,I think all of his meetings are pretty similar.  It always ends with  Do the obvious things right.,SCOTT DIXON,Blended,1
309,Cricket,"Yeah, the innings started well and Javeria played well, and we had some more partnerships. I'm trying the best, and I tried to hit the ball and get the maximum score.",ALIYA RIAZ,Team,2
310,Baseball,"Sevi is another guy that really improved his defense over the course of the year. Always a catch first, throw, bat second guy, and swung the bat well for us, especially against left-handed pitching.",BRANDON HYDE,Team,2
311,Tennis," Well, if she -- it is hard to tell.  I mean, if she keeps playing as well as she does, maybe.  But you never know.",HELENA SUKOVA,Individual,2
312,Baseball,"For sure. Oh, yeah. Let me give you an example. I bring in Thomas Hardy to pitch the seventh inning.",BUD BLACK,Team,1
313,Golf,"I've got some friends up here and my parents are driving up tonight.  My brother lives in D.C., so not too far away.",JONATHAN BYRD,Individual,7
314,Baseball,Absolutely not. Absolutely not. This is just a little thing that turned into a big thing that turned into a giant thing.,MAX SCHERZER,Team,8
315,Baseball,"  ""Don't lose.""  He was pretty simple about stuff like that.  The ball is in my hand and I have control of my own destiny tomorrow.",CURT SCHILLING,Team,5
316,Tennis," I don't really know, you know, what was going through his head.  He played a good game to break me.  And then, you know, just didn't convert there.  Hard to say what happened, really.",JIM COURIER,Individual,4
317,Basketball,"  We took some time off yesterday just to kind of get away from it a little bit, and we reconvened today, met, watched film, went over some stuff, practiced, got some work in, and we're all ready for tomorrow.",DUNCAN ROBINSON,Team,6
318,Tennis," Yeah, I kind of felt like you know, the crowd was for me and you know, it is a good feeling to have and to know that the crowd is there with you and supporting you.",MARY PIERCE,Individual,7
319,Volleyball,"I agree, I think it's a great recognition for her and for her Teammates. Obviously you don't get to be a First Team All-American unless you've got some pretty quality people around you. So, yeah, I agree with you there.",HUGH McCUTCHEON,Team,2
320,Football,  Not very big.  We had three people living in one and two people in two other rooms.  I had a single which was about as big as this box I'm standing on right now.,JOSH HEUPEL,Team,7
321,Hockey,"I think he does a good job of keeping himself in the mix.  He's that type of guy that, yeah, he's around now, comes out to the skates, hangs out with the guys.",SEAN KURALY,Team,5
322,Golf, We have Karrie Webb here.  She comes into this tournament having won last week at Evian and in very good form considering she's won twice this year.,COLIN CALLANDER,Individual,2
323,Football,Absolutely.  It's exceeded our expectations.  When you get down here in this weather and the hospitality of Hillsborough County and Tampa people and the Outback Bowl people has been awesome.,WILL MUSCHAMP,Team,7
324,Baseball,Can we talk about that after a few cocktails? (Chuckles.) There was a lot of conversation about that three-batters. We've got a lot of managers still trying to figure out how it's going to work out.,RON GARDENHIRE,Team,1
325,Tennis," Ask her what she means.  I mean, hanging out for me is just being home and play tennis one day and golf the same day, maybe just take care of my family.",MATS WILANDER,Individual,7
326,Baseball,I think the future is bright for this organization. I know Jeff is not only planning to be good for two or three years; he is planning for the Team to be great for a long time.,CARLOS CORREA,Team,5
327,Baseball,"That's what you live for. For me, I need to get in my pregame routine right now, and that's where I'm at mentally, here we go.",MAX SCHERZER,Team,5
328,Tennis," I was sleeping also.  And taking a lot of showers, because you sweating just walking on the street.  I sweat.  Taking showers; then eat spaghetti and go to bed.",ANDREI MEDVEDEV,Individual,7
329,Baseball,I just think it's going to be easier this year because I know the players so much and I know -- I'm familiar with a lot of guys.,BRANDON HYDE,Team,5
330,Tennis," I don't think so, no.  I wasn't very happy with my game today, so I don't know.  I didn't do anything better --",ANKE HUBER,Individual,2
331,Tennis," Just have to read Brad Gilbert's book then you know everything.  You need to read his book, then you know everything.",THOMAS MUSTER,Individual,7
332,Baseball,"Congratulations, Marcus; Yordan, thank you for coming; Yasmani Grandal, Xander, Kirby, thank you for being here. Another round of applause for the All-MLB Teams presented bu Scotts.",GREG AMSINGER,Team,7
333,Baseball,I think we're going to come out tomorrow and try to apply pressure. When we play our best baseball we apply pressure.,ALEX BREGMAN,Team,6
334,Baseball,"Yeah, but to what extent, we didn't know to what extent. But, yeah, we were trying to take some precautions, yes.",DAVE ROBERTS,Team,7
335,Basketball,  I'm not going to get into all of those because I don't know all of them.  I'll just be in there at the end.  But that's the training staff and our doctor will be involved in that.,ERIK SPOELSTRA,Team,3
336,Cricket,"Yeah. Actually, we think the first one is edge, but unfortunately, we lost the review, and the second one is out, I think, but we lost the review.",CHAMARI ATHAPATHTHU,Team,4
337,Auto Racing,  I don't know that Will is going to be able to help us do anything when we're sitting eighth.  That's just the way it goes.,JOSEF NEWGARDEN,Blended,1
338,Baseball,Am I a fan? I love it when my pitchers get three hitters out in a row. I think that's the greatest thing in the world. How do you like that answer?,RON GARDENHIRE,Team,2
339,Lacrosse,"National championship over everything.  This is an amazing experience.  We really came out today, and I feel like we played all four quarters, and that's something we really struggled with in the playoffs.",MATT MOORE,Team,4
340,Golf,"If you were to use this week's current rankings, pre British Open, and apply the new 35 divisor, I believe Michelle would now be ranked seventh.",CHRIS HIGGS,Individual,4
341,Cricket,"I think everybody needs a little bit of confidence. You can't go out there not having any. If it's your day, it's your day. You have to cash in.",LIZELLE LEE,Team,2
342,Baseball,He's extremely smart. He can move the ball around. He changes speeds from 90-plus to 70 and below. That's not easy to do. That's not easy to face.,GEORGE SPRINGER,Team,2
343,Lacrosse,"It's just a great group of guys and they played so well, and they were just flying all over, and that was a very good offense.  It was just a treat to be able to be with them.",ALEX RODE,Team,2
344,Baseball,I think it helps our players knowing that they got a chance to play here for a couple of days. They know the environment. They know the field. And I think that definitely helps them out a lot.,DAVE MARTINEZ,Team,5
345,Baseball,"That's an inside joke. Tommy and I have spoken a lot, as much as anybody I've spoken with has been Tommy. Well, I will get to everybody.",JOE MADDON,Team,7
346,Golf,"  I don't think ever in a major  -- to be in contention, I don't think we've ever been in the final group on the last day.",KARRIE WEBB,Individual,4
347,Tennis, You don't deserve to take my money.  I deserve to take your money because I help you do your job.,ANDREI MEDVEDEV,Individual,8
348,Volleyball,"Jenna Gray, setter, Stanford volleyball. Not a question. But just wanted to apologize for all of the times I made fun of you over the years and just say thank you for an incredible time. So thank you very much.",JENNA GRAY,Team,7
349,Tennis," It is great.  It is a great city for sure.  You can see some real life and you know, since we only playing small places, being in New York for two weeks is great.",ANREI MEDVEDEV,Individual,7
350,Baseball," When I first hit it, I had no idea whether it was going to go out, but once it goes out, it's a pretty special feeling.  I've never hit a walk-off home run before so it was a special experience.",DEREK JETER,Team,2
351,Golf," That's true.  I'm always afraid I'm going to get shot because somebody thinks I'm Brad.  I need a sign on my back that says I'm Bart, don't shoot me.",BART BRYANT,Individual,7
352,Auto Racing,It's the first time we've ever achieved that in our 27-year history.  Obviously we're excluding the time when we were the sole manufacturer.,TED KLAUS,Blended,5
353,Baseball,"I'm just looking forward to work with these kids again. That's my mindset. I'm very lucky to have the Team that I have. What's the oldest guy, Anthony Alford? He's got the most time, I think.",CHARLIE MONTOYO,Team,5
354,Lacrosse,"Yeah.  It's like -- I mean, the goal is to get back and win it, though.  We're not satisfied with getting here.  But definitely just to get back here, we don't really accept anything less.",TD IERLAN,Team,5
355,Football,  No one on this Team cares about Individual awards.  Not something that anyone needs to be concerned about.  That's the ultimate goal.  That's what we set out to do at the beginning of the year.,JOSH HEUPEL,Team,5
356,Lacrosse,"Griff Thompson, Will Hudson and Patrick Burkinshaw are like three of my best friends on the Team.  It's a community, and it's just amazing to get to hang out with them every day.",ALEX RODE,Team,5
357,Baseball,"Thanks very much, Ted. If you would like to ask a question, raise your hand and wait for a microphone. We encourage you to ask questions during this availability portion.",JON SHEVSTAKOVSKY,Team,7
358,Auto Racing,"I hope so. I hope so. I'm AOK with being the underdog. Kind of been there for most of my career. I've fine with that, doesn't bother me a bit. ",JOEY LOGANO,Blended,5
359,Hockey,"Well, that line, when they're all together, they have great chemistry for sure.  That line will be more effective, I would assume, with Barbashev back.  He's probably our most physical player up front.",CRAIG BERUBE,Team,2
360,Hockey,"Through text chains, different things like that.  We obviously see him when we're at home.  Chris Wagner has been on the road with us, he's been able to travel, but Kevan not so much.",TOREY KRUG,Team,5
361,Hockey,"Yeah, I think especially early on, being in their building, it's something that we can certainly do.  It's going to be effective.  It worked for us here in the series.  I expect a more physical game from both sides.",ALEX PIETRANGELO,Team,1
362,Basketball,"  We approach every game with that mindset.  We want to be the Team that gets the first loose ball, makes the first physicality play, makes the first hustle play, all those types of things.",FRANK VOGEL,Team,4
363,Baseball,"  We have Batista listed on the bullpen card today, but it is strictly in an emergency situation that he would be used out there.",BOB BRENLY,Team,1
364,Tennis,  After I came into the room and I saw today I didn't know if it was me seeing him or him lying down on that bench there.,HELENA SUKOVA,Individual,7
365,Baseball,"I found out from Alex Bregman, by the way, which is part of the story. I forget to answer the first part of your question. Go ahead.",AJ HINCH,Team,7
366,Lacrosse,I'm not too sure what really happened.  It just happened so fast.  But the officials did a tremendous job in our game.  So I trust the decision made by the officials.,COLIN HEACOCK,Team,4
367,Golf, It broke left to right and at the end it came back and it was coming back right to left at the end and it ended up going in right in the middle.,SHERRI STEINHAUER,Individual,4
368,Volleyball,"At what point does she stop becoming the transfer from Michigan? That was three years ago. She's Tiffany Clark, Wisconsin Badger.",KELLY SHEFFIELD,Team,7
